ID,File Upload,Field,Label
recFrOeiW9iMb1lmI,,NO,Mark
rec3yOmm1W2wtWVQm,,TYPE,Door Ref
recBjZMbIpkygZFU2,,HEIGHT,Door Height
recODkHbEPXlCXcDL,,WIDTH,Door Width
recm7s4cTT29YNnE9,,THICKNESS,Door Thickness
rec0hkgmYSm8arDAL,,FIRE RATING,Fire Rating
recyvVZuT1id3REmO,,TYPE,Frame Ref
recQCWqD3d3gdL7Fa,,HARDWARE,Hardware Ref
recmTAxH9e2GCCYW4,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",DOOR NO.,Mark
recnF4ZmpOrrFFAnp,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",LOCATION,Area
recyWEslTUtYYx90t,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",DOOR TYPE,Door Ref
recma4vx5Xxa7C08V,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",HEIGHT,Door Height
recTeVkFW0XuxQMWs,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",WIDTH,Door Width
reccGxigfTG7Iia2N,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",THICKNESS,Door Thickness
recGLPnzNnfcyMqrS,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",RATING,Fire Rating
rec0AhE5g4lxqRj8X,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",FRAME TYPE,Frame Ref
rec1S9iOdxnMJJXZV,"""Tru_Israel, IL 2025-06-30 17:00"",""Tru_Israel, IL 2025-07-10 16:38""",HDWE SET,Hardware Ref
recEhSfGYkQ5jh3wv,hello_ 2025-06-30 17:29,NUMBER,Mark
recCFp3wVTLatHY3d,hello_ 2025-06-30 17:29,ROOM NAME,Area
recEIisUdwv3aXTVl,hello_ 2025-06-30 17:29,TYPE,Door Ref
recZ03IqJDizl4xsR,hello_ 2025-06-30 17:29,HEIGHT,Door Height
receyMCUCwymn5RXP,hello_ 2025-06-30 17:29,WIDTH,Door Width
rectntKXk9E0pesl0,hello_ 2025-06-30 17:29,THICKNESS,Door Thickness
rec86O7B1rWLRFkkc,hello_ 2025-06-30 17:29,FIRE RATING,Fire Rating
recQKNCjFKkPIb9xX,hello_ 2025-06-30 17:29,TYPE,Frame Ref
receg8Y15RFc0MLEW,hello_ 2025-06-30 17:29,HARDWARE SET,Hardware Ref
rec1DiDBJvPAiuTWO,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",RM,Mark
recxiAf3ibsP50KGZ,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",WT,Door Width
recSdOOLleGgTAIel,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",HT,Door Height
recntsoToktDTZ5Be,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",HW SET,Hardware Ref
recuowQP0LDZrp6Kk,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",THK,Door Thickness
rec6pT8Q72MmpWe0t,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",Fire,Fire Rating
recCVQFPr5Vpnoikn,"""Tru_Israel, IL 2025-06-30 20:42"",""Tru_Israel, IL 2025-07-01 19:19""",Room Name,Area
rech1Zb6NgzVxQ0S9,"""Homewood Suites_Celebration FL, Homewood Suites_Celebration FL 2025-07-01 00:24""",RM,Mark
recwPCTpMoVAi4Rlo,"""Homewood Suites_Celebration FL, Homewood Suites_Celebration FL 2025-07-01 00:24""",WT,Door Width
rechHbgpObdnkzLQu,"""Homewood Suites_Celebration FL, Homewood Suites_Celebration FL 2025-07-01 00:24""",HT,Door Height
rec3WoTjNzDnS50ui,"""Homewood Suites_Celebration FL, Homewood Suites_Celebration FL 2025-07-01 00:24""",Fire,Fire Rating
recPzn7i95Wxb8CiS,"""Homewood Suites_Celebration FL, Homewood Suites_Celebration FL 2025-07-01 00:24""",THK,Door Thickness